Word,In Sona Pona,In Simple Wiki,In Wikidata,Coverage
a,No,No,Yes,wikidata
aka,Yes,No,No,sonapona
akesi,No,No,Yes,wikidata
ako,Yes,No,No,sonapona
aku,Yes,No,No,sonapona
ala,No,No,Yes,wikidata
alasa,No,No,Yes,wikidata
ale,No,No,Yes,wikidata
ali,No,No,Yes,wikidata
anpa,No,No,Yes,wikidata
anta,Yes,No,No,sonapona
ante,No,No,Yes,wikidata
antikontitutonelema,Yes,No,No,sonapona
anu,No,No,Yes,wikidata
apeja,Yes,No,Yes,"sonapona, wikidata"
apelo,Yes,No,No,sonapona
api,Yes,No,No,sonapona
asu,Yes,No,No,sonapona
ata,Yes,No,No,sonapona
awase,Yes,No,No,sonapona
awen,No,No,Yes,wikidata
awesome,Yes,No,No,sonapona
e,No,No,Yes,wikidata
eki,Yes,No,No,sonapona
en,No,No,Yes,wikidata
enko,Yes,No,No,sonapona
epiku,Yes,No,Yes,"sonapona, wikidata"
esun,No,No,Yes,wikidata
ete,Yes,No,No,sonapona
ewe,Yes,No,No,sonapona
i,Yes,No,No,sonapona
ijo,No,No,Yes,wikidata
ike,No,No,Yes,wikidata
iki,Yes,No,No,sonapona
ilo,No,No,Yes,wikidata
insa,No,No,Yes,wikidata
inta,Yes,No,No,sonapona
ipi,Yes,No,No,sonapona
isa,Yes,No,No,sonapona
iseki,Yes,No,No,sonapona
isipin,Yes,No,No,sonapona
itomi,Yes,No,No,sonapona
ja,Yes,No,No,sonapona
jaki,No,No,Yes,wikidata
jaku,Yes,No,No,sonapona
jalan,Yes,No,No,sonapona
jami,Yes,No,No,sonapona
jan,No,No,Yes,wikidata
jans,Yes,No,No,sonapona
jasima,Yes,No,Yes,"sonapona, wikidata"
je,Yes,No,No,sonapona
jelo,No,No,Yes,wikidata
jete,Yes,No,No,sonapona
jo,No,No,Yes,wikidata
jonke,Yes,No,No,sonapona
ju,Yes,No,No,sonapona
jule,Yes,No,No,sonapona
jume,Yes,No,No,sonapona
ka,Yes,No,No,sonapona
kala,No,No,Yes,wikidata
kalama,No,No,Yes,wikidata
kalapisituji,Yes,No,No,sonapona
kalijopilale,Yes,No,No,sonapona
kama,No,No,Yes,wikidata
kamalawala,Yes,No,No,sonapona
kamosa,Yes,No,No,sonapona
kani,Yes,No,No,sonapona
kapa,Yes,No,No,sonapona
kapesi,Yes,No,No,sonapona
kasan,Yes,No,No,sonapona
kasi,No,No,Yes,wikidata
ke,Yes,No,No,sonapona
kelo,Yes,No,No,sonapona
ken,No,No,Yes,wikidata
kepeken,No,No,Yes,wikidata
kepen,Yes,No,No,sonapona
kese,Yes,No,No,sonapona
kewe,Yes,No,No,sonapona
kijetesantakalu,No,No,Yes,wikidata
kijetesumikyoku,No,No,Yes,wikidata
kiki,Yes,No,No,sonapona
kikolo,Yes,No,No,sonapona
kili,No,No,Yes,wikidata
kin,No,No,Yes,wikidata
kipisi,No,No,Yes,wikidata
kitu,Yes,No,No,sonapona
kiwen,No,No,Yes,wikidata
ko,No,No,Yes,wikidata
kokoliko,Yes,No,No,sonapona
kokosila,Yes,No,Yes,"sonapona, wikidata"
kolo,Yes,No,No,sonapona
kon,No,No,Yes,wikidata
konsi,Yes,No,No,sonapona
konwe,Yes,No,No,sonapona
kosa,Yes,No,No,sonapona
kosan,Yes,No,No,sonapona
ku,No,No,Yes,wikidata
kulaso,Yes,No,No,sonapona
kule,No,No,Yes,wikidata
kulijo,Yes,No,No,sonapona
kulu,Yes,No,No,sonapona
kulupu,No,No,Yes,wikidata
kuntu,Yes,No,No,sonapona
kute,No,No,Yes,wikidata
kutopoma,Yes,No,No,sonapona
la,No,No,Yes,wikidata
lan,Yes,No,No,sonapona
lanpan,Yes,No,Yes,"sonapona, wikidata"
lapan,Yes,No,No,sonapona
lape,No,No,Yes,wikidata
laso,No,No,Yes,wikidata
lawa,No,No,Yes,wikidata
leko,No,No,Yes,wikidata
len,No,No,Yes,wikidata
lete,No,No,Yes,wikidata
li,No,No,Yes,wikidata
lijokuku,Yes,No,No,sonapona
likujo,Yes,No,No,sonapona
lili,No,No,Yes,wikidata
linja,No,No,Yes,wikidata
linluwi,Yes,No,No,sonapona
linuwi,Yes,No,No,sonapona
lipu,No,No,Yes,wikidata
lisa,Yes,No,No,sonapona
loje,No,No,Yes,wikidata
loka,Yes,No,No,sonapona
lokon,Yes,No,No,sonapona
lon,No,No,Yes,wikidata
lu,Yes,No,No,sonapona
luka,No,No,Yes,wikidata
lukin,No,No,Yes,wikidata
lupa,No,No,Yes,wikidata
