P11250 QuickStatements for sona.pona.la wiki links
================================================================================

Total items: 323

QID             Word                           sonapona:pagename                       
Q137374547      walo                           sonapona:walo                                    
Q137374548      wan                            sonapona:wan                                     
Q137374291      waso                           sonapona:waso                                    
Q137374549      wawa                           sonapona:wawa                                    
Q137374292      weka                           sonapona:weka                                    
Q137374550      wile                           sonapona:wile                                    
Q137763642      aka                            sonapona:aka                                     
Q137763644      ako                            sonapona:ako                                     
Q137763645      aku                            sonapona:aku                                     
Q137763646      alente                         sonapona:alente                                  
Q137374187      ali                            sonapona:ali                                     
Q137763647      alisa                          sonapona:alisa                                   
Q137763648      alu                            sonapona:alu                                     
Q137763655      anta                           sonapona:anta                                    
Q137763657      antikontitutonelema            sonapona:antikontitutonelema                     
Q137374368      apeja                          sonapona:apeja                                   
Q137763658      apelo                          sonapona:apelo                                   
Q137763659      api                            sonapona:api                                     
Q137763661      asu                            sonapona:asu                                     
Q137763665      awase                          sonapona:awase                                   
Q137763666      eki                            sonapona:eki                                     
Q137763668      enko                           sonapona:enko                                    
Q137763669      epikule                        sonapona:epikule                                 
Q137763672      iki                            sonapona:iki                                     
Q137763675      inta                           sonapona:inta                                    
Q137763678      ipi                            sonapona:ipi                                     
Q137763680      iseki                          sonapona:iseki                                   
Q137763681      isipin                         sonapona:isipin                                  
Q137763683      itomi                          sonapona:itomi                                   
Q137763684      ja                             sonapona:ja                                      
Q137763685      jalan                          sonapona:jalan                                   
Q137763687      jami                           sonapona:jami                                    
Q137763688      jans                           sonapona:jans                                    
Q137763691      je                             sonapona:je                                      
Q137763695      ju                             sonapona:ju                                      
Q137763696      jule                           sonapona:jule                                    
Q137763698      jume                           sonapona:jume                                    
Q137763699      juniko                         sonapona:juniko                                  
Q137763702      kalamARR                       sonapona:kalamARR                                
Q137763704      kalijopilale                   sonapona:kalijopilale                            
Q137763706      kamalawala                     sonapona:kamalawala                              
Q137763707      kan                            sonapona:kan                                     
Q137763708      kana                           sonapona:kana                                    
Q137763709      kani                           sonapona:kani                                    
Q137763711      kapa                           sonapona:kapa                                    
Q137763713      kapesi                         sonapona:kapesi                                  
Q137763714      kapilu                         sonapona:kapilu                                  
Q137763715      ke                             sonapona:ke                                      
Q137763719      kelo                           sonapona:kelo                                    
Q137763723      kepen                          sonapona:kepen                                   
Q137763725      kese                           sonapona:kese                                    
Q137763727      kewe                           sonapona:kewe                                    
Q137763728      ki                             sonapona:ki                                      
Q137763730      kije                           sonapona:kije                                    
Q137763732      kijete                         sonapona:kijete                                  
Q137763734      kiki                           sonapona:kiki                                    
Q137763735      kikolo                         sonapona:kikolo                                  
Q137763736      kikulo                         sonapona:kikulo                                  
Q137763739      kitu                           sonapona:kitu                                    
Q137763741      kolisin                        sonapona:kolisin                                 
Q137763742      kolo                           sonapona:kolo                                    
Q137763745      konsi                          sonapona:konsi                                   
Q137763746      konwe                          sonapona:konwe                                   
Q137763747      kosan                          sonapona:kosan                                   
Q137763748      kosikosa                       sonapona:kosikosa                                
Q137763750      kulijo                         sonapona:kulijo                                  
Q137763751      kulu                           sonapona:kulu                                    
Q137763752      kuntu                          sonapona:kuntu                                   
Q137763753      lan                            sonapona:lan                                     
Q137763759      lijokuku                       sonapona:lijokuku                                
Q137763760      likujo                         sonapona:likujo                                  
Q137763761      linku                          sonapona:linku                                   
