category,word,commons_title,commons_url,wikidata_id,wikidata_url,sona_exists,sona_url,tok_exists,tok_url,tok_wikidata_id,tok_wikidata_url,wiktionary_exists,wiktionary_url
Category:Sitelen Pona ligatures,akesi kon,Category:Akesi kon (toki pona),https://commons.wikimedia.org/wiki/Category:Akesi_kon_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,anpa lawa,Category:Anpa lawa (toki pona),https://commons.wikimedia.org/wiki/Category:Anpa_lawa_(toki_pona),,,No,,Yes,https://tok.wikipedia.org/wiki/anpa_lawa,Q13164428,https://www.wikidata.org/wiki/Q13164428,No,
Category:Sitelen Pona ligatures,ijo akesi,Category:Ijo akesi (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_akesi_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo ala,Category:Ijo ala (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_ala_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo alasa,Category:Ijo alasa (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_alasa_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo ale,Category:Ijo ale (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_ale_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo ali,Category:Ijo ali (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_ali_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo anpa,Category:Ijo anpa (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_anpa_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo ante,Category:Ijo ante (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_ante_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo anu,Category:Ijo anu (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_anu_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo apeja,Category:Ijo apeja (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_apeja_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo awen,Category:Ijo awen (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_awen_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo en,Category:Ijo en (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_en_(toki_pona),,,No,,No,,,,No,
Category:Sitelen Pona ligatures,ijo esun,Category:Ijo esun (toki pona),https://commons.wikimedia.org/wiki/Category:Ijo_esun_(toki_pona),,,No,,No,,,,No,
