Complete QuickStatements for ALL rare Toki Pona words
========================================================================================================================

SUMMARY:
  Total rare words: 302
  - CREATE new items: 11
  - ADD properties: 291

CREATE group properties:
  - With P18 (image): 11
  - With P11250 (sonapona): 10
  - With P1268 (concept): 11

ADD group properties:
  - With P18 (image): 277
  - With P11250 (sonapona): 139
  - With P1268 (concept): 3

========================================================================================================================

PART 1: CREATE 11 new items
------------------------------------------------------------------------------------------------------------------------
Word                      Commons Category                                        IMG  SP   Concept     
------------------------------------------------------------------------------------------------------------------------
jonke                     Category:Jonke (toki pona)                              Yes  Yes  Q3303681    
kisa                      Category:Kisa (toki pona)                               Yes  Yes  Q146        
kutopoma                  Category:Kutopoma (toki pona)                           Yes  Yes  Q137760739  
linluwi                   Category:Linluwi (toki pona)                            Yes  Yes  Q75         
melome                    Category:Melome (toki pona)                             Yes  Yes  Q9800899    
mulapisu                  Category:Mulapisu (toki pona)                           Yes  Yes  Q177        
nimisin                   Category:Nimisin (toki pona)                            Yes  Yes  Q130989     
nja                       Category:Nja (toki pona)                                Yes  Yes  Q146        
soto                      Category:Soto (toki pona)                               Yes  Yes  Q13196750   
sutopatikuna              Category:Sutopatikuna (toki pona)                       Yes  Yes  Q15343      
teje                      Category:Teje (toki pona)                               Yes  No   Q14565199   


PART 2: ADD properties to 291 existing items
------------------------------------------------------------------------------------------------------------------------
Word                      QID             IMG  SP   Concept     
------------------------------------------------------------------------------------------------------------------------
aaanusememailmahjong      Q137763639      No   No   N/A         
aasun                     Q137763640      Yes  No   N/A         
aja                       Q137763641      Yes  No   N/A         
aka                       Q137763642      Yes  Yes  N/A         
ako                       Q137763644      Yes  Yes  N/A         
aku                       Q137763645      Yes  Yes  N/A         
alente                    Q137763646      Yes  No   N/A         
ali                       Q137374187      No   No   Q2165236    
alisa                     Q137763647      Yes  No   N/A         
alu                       Q137763648      Yes  Yes  N/A         
amanka                    Q137763649      Yes  No   N/A         
amelin                    Q137763650      Yes  No   N/A         
ana                       Q137763652      Yes  No   N/A         
ani                       Q137763653      Yes  No   N/A         
ansu                      Q137763654      Yes  No   N/A         
anta                      Q137763655      Yes  Yes  N/A         
antepan                   Q137763656      Yes  No   N/A         
antikontitutonelema       Q137763657      Yes  Yes  N/A         
apeja                     Q137374368      No   No   N/A         
apelo                     Q137763658      Yes  Yes  N/A         
api                       Q137763659      Yes  Yes  N/A         
asiku                     Q137763660      Yes  No   N/A         
asu                       Q137763661      Yes  Yes  N/A         
asuki                     Q137763662      Yes  No   N/A         
asuto                     Q137763663      Yes  No   N/A         
atu                       Q137763664      Yes  No   N/A         
awase                     Q137763665      Yes  Yes  N/A         
eki                       Q137763666      Yes  Yes  N/A         
eni                       Q137763667      Yes  No   N/A         
enko                      Q137763668      Yes  Yes  N/A         
