P1268 (represents) QuickStatements - Detailed List
======================================================================

Total statements: 114

Word                 Category QID    Represents QID 
----------------------------------------------------------------------
a                    Q120435970      Q9659          
akesi                Q137374183      Q137183894     
ala                  Q137374184      Q154242        
alasa                Q137374185      Q36963         
ale                  Q137104453      Q2165236       
anpa                 Q135012208      Q15332388      
ante                 Q137374189      Q10862449      
e                    Q137374193      Q9907          
esun                 Q137374196      Q137760199     
ijo                  Q137374197      Q35120         
ike                  Q137374198      Q115208895     
ilo                  Q137374199      Q11016         
jaki                 Q137374201      Q137760200     
jan                  Q105816257      Q5             
jasima               Q137374375      Q120429        
jelo                 Q137374204      Q943           
jo                   Q137374205      Q6498684       
kala                 Q92186194       Q152           
kalama               Q137374207      Q11461         
kasi                 Q137374209      Q756           
ken                  Q137374210      Q137760201     
kijetesantakalu      Q137145315      Q137760202     
kili                 Q137374213      Q11661912      
kiwen                Q137374216      Q11438         
ko                   Q137374217      Q137760203     
kokosila             Q137104206      Q137104206     
kon                  Q137374219      Q137760204     
ku                   Q137374451      Q108617357     
kule                 Q137374221      Q1075          
kulupu               Q137374222      Q16887380      
kute                 Q137374223      Q7362          
lanpan               Q137374380      Q2727213       
leko                 Q137374381      Q3801534       
len                  Q137374308      Q11460         
lete                 Q137374309      Q270952        
linja                Q137374312      Q137760205     
lipu                 Q137374313      Q571           
loje                 Q137374314      Q3142          
lon                  Q137374315      Q137760206     
luka                 Q137374316      Q24517852      
lukin                Q137374317      Q7364          
lupa                 Q137374318      Q20204151      
ma                   Q137374319      Q2             
mama                 Q137374224      Q7566          
mani                 Q137374225      Q1368          
meli                 Q137374226      Q467           
mi                   Q137374228      Q137374228     
mije                 Q137374229      Q137122691     
misikeke             Q137374384      Q11190         
moku                 Q137374231      Q2095          
moli                 Q137374233      Q4             
monsi                Q137374234      Q32198402      
monsuta              Q137374385      Q44619         
mu                   Q137374236      Q95605854      
mun                  Q137374237      Q6999          
musi                 Q137374238      Q173799        
n                    Q137374386      Q9937          
namako               Q137374241      Q137760207     
nanpa                Q137374242      Q11563         
nasa                 Q137374243      Q12135         
nasin                Q137374244      Q5004679       
nena                 Q137374245      Q137760208     
ni                   Q137374246      Q137374246     
nimi                 Q137374247      Q8171          
noka                 Q137104254      Q62513663      
o                    Q137374249      Q9941          
oko                  Q137374250      Q7364          
olin                 Q137374251      Q316           
ona                  Q137374252      Q137374252     
pakala               Q137374254      Q481609        
pali                 Q137374256      Q268378        
palisa               Q137374257      Q10971443      
pan                  Q137374258      Q12117         
pilin                Q137374263      Q137760209     
pimeja               Q137374264      Q204170        
pipi                 Q137374266      Q1390          
poka                 Q137374268      Q2151613       
poki                 Q137374269      Q987767        
pona                 Q137374270      Q15290         
pu                   Q137374271      Q108617400     
seli                 Q137374274      Q137760210     
selo                 Q137374275      Q1074          
sewi                 Q137374278      Q15332375      
sijelo               Q137374279      Q207961        
sike                 Q137374280      Q137760211     
sina                 Q135010765      Q135010765     
sinpin               Q137374283      Q32198356      
sitelen              Q137104235      Q478798        
soko                 Q137374392      Q764           
sona                 Q137374286      Q9081          
soweli               Q137374287      Q729           
suli                 Q137374532      Q11423         
suno                 Q137374533      Q12969754      
supa                 Q137374534      Q137760212     
suwi                 Q137374535      Q2382369       
tawa                 Q137374289      Q7590          
telo                 Q137374538      Q283           
tenpo                Q137374401      Q11471         
toki                 Q137374423      Q315           
tomo                 Q137374541      Q41176         
tonsi                Q137374542      Q189125        
tu                   Q137374543      Q200           
unpa                 Q137374544      Q290           
uta                  Q137374545      Q9635          
utala                Q137374546      Q400889        
walo                 Q137374547      Q23444         
wan                  Q137374548      Q199           
waso                 Q137374291      Q5113          
wawa                 Q137374549      Q11379         
weka                 Q137374292      Q19829125      
wile                 Q137374550      Q775842        
ali                  Q137374187      Q2165236       
majuna               Q137374454      Q309           
su                   Q137374531      Q124422915     
